BM1_output.ccm.csv,BM2_output.ccm.csv,BR1_output.ccm.csv,BR2_output.ccm.csv,BR3_output.ccm.csv,BR4_output.ccm.csv,OM1_output.ccm.csv,OM2_output.ccm.csv,OM3_output.ccm.csv,OM4_output.ccm.csv,OM5_output.ccm.csv,OM6_output.ccm.csv,OM7_output.ccm.csv,OM8_output.ccm.csv,OM9_output.ccm.csv,OR1_output.ccm.csv,OR2_output.ccm.csv,OR3_output.ccm.csv,SP1_output.ccm.csv,SP2_output.ccm.csv,SP3_output.ccm.csv,SP4_output.ccm.csv,SP5_output.ccm.csv,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus
0.0,0.0,0.0,0.0,0.0,25.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Candidatus Thermoplasmatota,Thermoplasmata,Thermoplasmatales,,
0.0,0.0,0.0,0.0,12.34,86.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Candidatus Thermoplasmatota,Thermoplasmata,Thermoplasmatales,unk_f,
0.0,0.0,0.0,19.56,0.0,151.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.08,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Candidatus Thermoplasmatota,Thermoplasmata,Thermoplasmatales,unk_f,unk_g
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Euryarchaeota,Archaeoglobi,Archaeoglobales,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halomarina
0.0,306.46,0.0,0.0,0.0,0.0,0.0,0.0,87.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium
0.0,11.2,0.0,0.0,0.0,4.66,0.0,0.0,74.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,
0.0,175.37,0.0,0.0,0.0,0.0,0.0,0.0,33.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,unk_g
9.47,83.69999999999999,9.46,0.0,0.0,43.31,0.0,19.03,26673.22,4.97,0.0,0.0,9.96,16.55,19.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus
12.95,610.6,0.0,0.0,0.0,16.65,0.0,61.870000000000005,273.82,16.96,0.0,0.0,32.71,28.259999999999998,23.71,0.0,0.0,35.17,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,
0.0,27.62,0.0,0.0,7.29,0.0,0.0,0.0,26.68,0.0,0.0,0.0,14.51,0.0,0.0,0.0,0.0,25.25,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Euryarchaeota,Halobacteria,Halobacteriales,,
0.0,529.27,0.0,0.0,8.0,0.0,0.0,37.9,15.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Euryarchaeota,Halobacteria,Halobacteriales,unk_f,unk_g
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,
0.0,39.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Euryarchaeota,Halobacteria,unk_o,unk_f,unk_g
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,Archaea,unk_k,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Euryarchaeota,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.89,0.0,0.0,0.0,0.0,Archaea,unk_k,Euryarchaeota,unk_c,unk_o,,
30.33,100.09,1471.11,25.529999999999998,13.92,139.5,0.0,0.0,98.18,0.0,0.0,0.0,6.47,25.68,0.0,0.0,0.0,0.0,0.0,9.65,89.19,343.33,0.0,Archaea,unk_k,Euryarchaeota,unk_c,unk_o,unk_f,
0.0,0.0,77.37,86.77000000000001,133.57,349.64,0.0,0.0,0.0,0.0,7.61,0.0,421.46,26.0,0.0,0.0,0.0,50.92,241.78,194.18,0.0,0.0,0.0,Archaea,unk_k,Euryarchaeota,unk_c,unk_o,unk_f,unk_g
0.0,0.0,24.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Nitrososphaerota,,,,
223.58,0.0,1342.1,414.7,1606.91,2597.91,0.0,0.0,0.0,0.0,0.0,0.0,522.86,302.2,19.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Nitrososphaerota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrosocosmicus
10.55,9.58,6.23,0.0,5.74,7.73,0.0,10.96,60.4,75.76,0.0,19.11,0.0,0.0,0.0,0.0,0.0,14.21,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Nitrososphaerota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,
0.0,0.0,0.0,4.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archaea,unk_k,Nitrososphaerota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera
